sim_id,n_participants,decision_0_10s,decision_10_20s,decision_20_60s,h2_supported,overall_decision,hdi_0_10s_lower,hdi_0_10s_upper,hdi_10_20s_lower,hdi_10_20s_upper,hdi_20_60s_lower,hdi_20_60s_upper,mean_0_10s,mean_10_20s,mean_20_60s
1,60,PRESENT,PRESENT,ABSENT,TRUE,DECIDED,0.28852795748648036,0.3875913716444487,0.10657512240691946,0.2053739006784404,-0.0765110913704487,0.023399951148910247,0.33678623199801944,0.1521822834045712,-0.028266253239629054
2,60,PRESENT,PRESENT,ABSENT,TRUE,DECIDED,0.2929382491015335,0.3961440103759637,0.10062033541037202,0.2027627269553498,-0.004735244551264284,0.09416048167458227,0.3461554209931813,0.15047106828296672,0.04643473870456957
3,60,PRESENT,PRESENT,ABSENT,TRUE,DECIDED,0.2780642895606001,0.3747369646280676,0.11129781419756538,0.21209959170818843,-0.02921515905733607,0.07249814507398589,0.32404348254028764,0.16326133205654694,0.019179297693951155
4,60,PRESENT,PRESENT,ABSENT,TRUE,DECIDED,0.3128695184475269,0.41021629477705285,0.12966628857820148,0.23293434651086356,-0.05689638170647815,0.03753044414270995,0.36088942233327354,0.1833301944976529,-0.007096339147174902
5,60,PRESENT,PRESENT,ABSENT,TRUE,DECIDED,0.26247810304804886,0.3608370956899973,0.12371654787085049,0.22293753401044514,-0.0327651938213433,0.06234528957630198,0.3088846313334481,0.17101920838132573,0.018723138314685105
6,60,PRESENT,PRESENT,UNDECIDED,FALSE,UNDECIDED,0.30302901959814066,0.3977510181004716,0.11304238498436336,0.21126891799963535,0.00577623934173066,0.10695661260579137,0.3499371505016503,0.15969743471096617,0.05594529255675736
6,90,PRESENT,PRESENT,ABSENT,TRUE,DECIDED,0.30197582949730495,0.3857180459632835,0.10356304125476146,0.18569577990562738,-0.0012797578575143853,0.08051732732865172,0.3401038671692021,0.14319317028554443,0.0404352954611499
7,60,PRESENT,UNDECIDED,ABSENT,TRUE,DECIDED,0.32732499047489205,0.4269948020823798,0.08244623562115871,0.1796629256948324,-0.047652706654578936,0.04997058459739695,0.3753068969091174,0.1334267253491084,-0.0017082258410855318
8,60,PRESENT,PRESENT,ABSENT,TRUE,DECIDED,0.3043440999185142,0.4108465111815276,0.11410178536903207,0.21456648117581686,-0.04770399018613508,0.05260203857357837,0.35348258821390516,0.16230507757705773,-0.001525463544663908
9,60,PRESENT,UNDECIDED,ABSENT,TRUE,DECIDED,0.3213819311903975,0.42156783074204385,0.07035190034227456,0.17014734779764973,-0.027830335230658865,0.07136017051163124,0.3725078544220242,0.11860778798848129,0.020867665203614445
10,60,PRESENT,UNDECIDED,ABSENT,TRUE,DECIDED,0.31281128200361685,0.40818612616120425,0.09731837544992378,0.19356372232791494,-0.017184743013356263,0.08066894937921448,0.363406894557043,0.14715780077460475,0.02741719296217312
11,60,PRESENT,PRESENT,ABSENT,TRUE,DECIDED,0.265575410232204,0.36281499259704003,0.11023270407010136,0.2071649673549108,-0.07535286559291315,0.02152180905080231,0.3143282545009445,0.16245257182517306,-0.02565657214092302
12,60,PRESENT,PRESENT,ABSENT,TRUE,DECIDED,0.28764429158080923,0.38544735289116466,0.10098067863407706,0.2053630128040289,-0.018948663822513923,0.08246937214842387,0.3381341040776462,0.15315103368444846,0.0333679597902899
13,60,PRESENT,PRESENT,UNDECIDED,FALSE,UNDECIDED,0.3512683373462946,0.4511371653521118,0.10128269312355992,0.20704656013235198,-0.10092811221902837,0.0018006377425820452,0.40527896059108404,0.15508446866200504,-0.04946149447898591
13,90,PRESENT,UNDECIDED,ABSENT,TRUE,DECIDED,0.3605196204980196,0.4438717243391897,0.08339276291721076,0.16823445190257427,-0.061862890500234524,0.020788706752898622,0.4025869551653229,0.12744718343937653,-0.02098037198686501
14,60,PRESENT,PRESENT,ABSENT,TRUE,DECIDED,0.27492202061039883,0.37593406854205424,0.142218664603914,0.24417591653685666,-0.06540922823958056,0.03701341877331499,0.3274208732756473,0.19035454799510088,-0.013181557151362436
15,60,PRESENT,PRESENT,ABSENT,TRUE,DECIDED,0.33202214598240465,0.43585461173718987,0.11413832834183352,0.2142052027477143,-0.014480358098488244,0.08702809407356704,0.3802439509368701,0.16634012414794577,0.03367886920455977
16,60,PRESENT,PRESENT,ABSENT,TRUE,DECIDED,0.264984678716165,0.36694077363954236,0.10798620363793354,0.20828290145499337,-0.08277818310105589,0.017044835063471597,0.3106015924013704,0.15656551236775582,-0.03286982818645818
17,60,PRESENT,UNDECIDED,ABSENT,TRUE,DECIDED,0.2752176085196865,0.3772561714538063,0.0636452060516518,0.1671401528551983,-0.08557284178039509,0.018411617294546212,0.3265935380233164,0.1146023159744305,-0.032845467288267184
18,60,PRESENT,PRESENT,ABSENT,TRUE,DECIDED,0.30095236674503056,0.40178490082679746,0.12316699282495835,0.22446191848500482,-0.04607114683070096,0.05353408988802971,0.35141375677037656,0.17306208701428136,5.823371450515552e-4
19,60,PRESENT,UNDECIDED,ABSENT,TRUE,DECIDED,0.2967026352980693,0.3999775769244947,0.07975569891671791,0.18184954730777117,-0.07826306021656837,0.029150680414004038,0.3494696602181179,0.13162247338807095,-0.02202707977808622
20,60,PRESENT,PRESENT,ABSENT,TRUE,DECIDED,0.301170620680932,0.4017563356714043,0.12487893683438109,0.22274223395865544,-0.06392327672624493,0.03779396880483299,0.35099957888671274,0.1712748606569951,-0.014401090837714105
21,60,PRESENT,PRESENT,ABSENT,TRUE,DECIDED,0.2896410189311573,0.38725586161421255,0.1006722133349546,0.20012021701287794,-0.06284386376157114,0.038688547289877806,0.3397526761096919,0.15192759461652539,-0.012887286293969827
22,60,PRESENT,PRESENT,ABSENT,TRUE,DECIDED,0.2692708426577848,0.37036439217358985,0.12610170184565173,0.23049226332654973,-0.0570581204361828,0.04512417686880177,0.32223906091994536,0.18306846676762037,-0.010924863286237723
23,60,PRESENT,PRESENT,ABSENT,TRUE,DECIDED,0.3068048815839704,0.40502077071701154,0.11974207574616472,0.22351154344874621,-0.0381449831037885,0.06187122198535455,0.35583549997764496,0.17135378858679037,0.01549714545267007
24,60,PRESENT,PRESENT,ABSENT,TRUE,DECIDED,0.29176765732446047,0.388649372902597,0.1272646331291886,0.22896659152000964,-0.06879343272985089,0.03213319020669636,0.3390842094791226,0.1733713336506783,-0.021447963870818543
25,60,PRESENT,PRESENT,ABSENT,TRUE,DECIDED,0.3145865214578038,0.4102892423880907,0.1657186675305271,0.2600330125691921,-0.055594353720743894,0.04417705827244889,0.36414351511489645,0.21363689090207985,-0.004569391811019949
26,60,PRESENT,UNDECIDED,ABSENT,TRUE,DECIDED,0.28420038197448644,0.38514021965409156,0.08268351193188764,0.184532504568515,-0.04649922517167987,0.05655416611252867,0.3350585897388508,0.13338021610376902,0.008734820153461187
27,60,PRESENT,UNDECIDED,ABSENT,TRUE,DECIDED,0.2843940373402081,0.38439661365400024,0.0897802062388211,0.18964385788487423,-0.0429521935128277,0.06065566056039573,0.333571576214422,0.13726110037238684,0.00945561981057347
28,60,PRESENT,UNDECIDED,ABSENT,TRUE,DECIDED,0.30223443875687667,0.40787165621978116,0.08515512837595696,0.18466962936139442,-0.06270205119721145,0.04288897552568943,0.35038387012333083,0.13605406273417892,-0.00864017715923888
29,60,PRESENT,PRESENT,ABSENT,TRUE,DECIDED,0.2915529921551457,0.3942814269077098,0.11975720669663453,0.21985790019562323,-0.04902218830071037,0.05435407849939278,0.342819663175638,0.1749163004876162,0.007809802703096366
30,60,PRESENT,UNDECIDED,ABSENT,TRUE,DECIDED,0.31196486653276834,0.41270758172987215,0.08571216632082956,0.18801148600005993,-0.054704051530132025,0.04191862794034951,0.3628423056543692,0.13570929646319782,-0.006494353561067893
31,60,PRESENT,UNDECIDED,ABSENT,TRUE,DECIDED,0.2655913206496855,0.36957269191636966,0.09918004901313432,0.20242159561348108,-0.0833424066592292,0.022700178481943223,0.3185341022677001,0.15208019951452817,-0.0289458309362108
