sim_id,n_participants,decision_0_10s,decision_10_20s,decision_20_60s,h2_supported,overall_decision,hdi_0_10s_lower,hdi_0_10s_upper,hdi_10_20s_lower,hdi_10_20s_upper,hdi_20_60s_lower,hdi_20_60s_upper,mean_0_10s,mean_10_20s,mean_20_60s
1,30,PRESENT,ABSENT,ABSENT,TRUE,DECIDED,0.26230930197581803,0.36966315675990763,-0.060980530241933284,0.05013470424113403,-0.05001642773409737,0.06534643467723883,0.31815798656766453,-0.003560086367495362,0.0030495828789611334
2,30,PRESENT,ABSENT,UNDECIDED,FALSE,UNDECIDED,0.225849733311468,0.3459350564224679,-0.057592984614559695,0.05590632985395372,-0.004952188981809769,0.10782016675448478,0.2824677174205936,-0.0010144159655112504,0.05076903011642353
2,45,PRESENT,ABSENT,ABSENT,TRUE,DECIDED,0.2241034725596786,0.3133905318351445,-0.02494107302918891,0.06363708546427421,-0.0029415993864224665,0.08398037507327721,0.2696955734425288,0.019701133288688347,0.04074536752954682
3,30,PRESENT,ABSENT,ABSENT,TRUE,DECIDED,0.2136199015582562,0.33169806022046,-0.03424921693085203,0.07849794097696389,-0.06766767511578103,0.043220893697319324,0.27141341946283265,0.02105334365274329,-0.015156861840279916
4,30,PRESENT,ABSENT,ABSENT,TRUE,DECIDED,0.2091779297401766,0.32350151854523523,-0.08528024610989604,0.02351782744357006,-0.04139839211604407,0.06985032236132235,0.26761933252450787,-0.03305913784901436,0.01267524866025105
5,30,PRESENT,UNDECIDED,ABSENT,TRUE,DECIDED,0.2670742820035433,0.38076841273185774,0.018681321047119226,0.12380041920491217,-0.03707600321302029,0.07286125626003703,0.3284271006014822,0.06955626109141862,0.018798216836953804
6,30,PRESENT,ABSENT,ABSENT,TRUE,DECIDED,0.22866654637186803,0.34078536019662214,-0.02629883636560615,0.08767198193983433,-0.07125135065561006,0.04102570522573068,0.28025364064737823,0.026470497522927048,-0.013674336400977904
7,30,PRESENT,ABSENT,ABSENT,TRUE,DECIDED,0.18251739013234702,0.29635932814869287,-0.0295741022837909,0.09024335312829385,-0.04242134231528888,0.07057296276487715,0.23719479914236877,0.028945395020000198,0.013537642559964853
8,30,PRESENT,ABSENT,ABSENT,TRUE,DECIDED,0.2504020503059984,0.3534925446373499,-0.08077870990932645,0.04010985501467906,-0.07131517334869875,0.050175138248322926,0.3025268974965409,-0.02053291081798009,-0.012749343672956282
9,30,PRESENT,ABSENT,ABSENT,TRUE,DECIDED,0.2580618962614732,0.3726537982600082,-0.026686024340980052,0.08692654410221151,-0.05904714232243424,0.051166820410046776,0.31559041758656625,0.024744691137940585,-0.004109366476226968
10,30,PRESENT,ABSENT,UNDECIDED,FALSE,UNDECIDED,0.22389921589383283,0.3321008353592927,-0.028809977555315558,0.08029439889251055,-0.1144324558403424,-0.0019266166125923023,0.27693341424932943,0.024584391544665577,-0.05721027966942483
10,45,PRESENT,ABSENT,ABSENT,TRUE,DECIDED,0.26683630915764556,0.3590406778309369,-0.04276537827973376,0.053023766513368126,-0.07743973440537522,0.0210809814173033,0.3118636243430412,0.0056997205324275215,-0.03055454225333916
11,30,PRESENT,ABSENT,ABSENT,TRUE,DECIDED,0.21939539719371828,0.3264051553033755,-0.050145686895541663,0.06529524970230335,-0.05325617676770261,0.06561830175466224,0.2705696089355743,0.008206274464719233,0.002171249607139771
12,30,PRESENT,ABSENT,ABSENT,TRUE,DECIDED,0.2261805324886438,0.34327456683089963,-0.025415533685155978,0.0875819206531705,-0.09589458317195515,0.007892517267984622,0.282484487838049,0.028759071397292564,-0.04664081224475293
13,30,PRESENT,ABSENT,ABSENT,TRUE,DECIDED,0.19888376309081515,0.31163473775349626,-0.07594244816236312,0.03545302994973168,-0.03902723241316555,0.07881306708676167,0.2528749266763653,-0.01999675608581069,0.018644629473553297
14,30,PRESENT,UNDECIDED,ABSENT,TRUE,DECIDED,0.21842995139246227,0.3334325059064381,-0.0050490249713397994,0.11051676928517937,-0.06335683745259035,0.04807930323438392,0.28014413025937057,0.05188488037777797,-0.005499600219771934
15,30,PRESENT,ABSENT,ABSENT,TRUE,DECIDED,0.2196857253082019,0.3301029480532326,-0.04310299842674514,0.058654093398569196,-0.02915499183044029,0.07254772811300841,0.2779046276456533,0.006946660160355458,0.02003280054853473
16,30,PRESENT,ABSENT,ABSENT,TRUE,DECIDED,0.24213159200326806,0.35241374023386385,-0.06835579347393345,0.048319894006373626,-0.07647012121283159,0.0362022432759318,0.29663068494012995,-0.011493547958679903,-0.02100025398904256
17,30,PRESENT,UNDECIDED,UNDECIDED,FALSE,UNDECIDED,0.21394882091765616,0.3363297489555749,-0.008730544194804346,0.10596693809296089,-0.009854999668973408,0.10199153981469522,0.26790722772520453,0.051481234415976046,0.048366344169887734
17,45,PRESENT,ABSENT,ABSENT,TRUE,DECIDED,0.2282624510117821,0.3271480795356158,-0.026276871849142458,0.06676938634859328,-0.01840743039684628,0.07545938282108466,0.2748585384353877,0.018158371445191838,0.033193866870960834
18,30,PRESENT,ABSENT,ABSENT,TRUE,DECIDED,0.22428505310099886,0.34317981762240957,-0.07247921811461433,0.04705068510777494,-0.04062620132482753,0.07681393200405695,0.28086457881532595,-0.011252809232118754,0.014036783489629256
19,30,PRESENT,ABSENT,UNDECIDED,FALSE,UNDECIDED,0.22695851523012697,0.34261108548566505,-0.06641202046757921,0.04889717074033159,-0.004779460135796776,0.1087017222998456,0.28406613514266227,-0.006022279458890484,0.05330901252213986
19,45,PRESENT,ABSENT,ABSENT,TRUE,DECIDED,0.24436531336866107,0.3374842279218101,-0.04281103966867478,0.04964684839642436,0.010406816747963787,0.09732237524856144,0.28699519851958066,6.62009610039583e-4,0.0523966074242429
20,30,PRESENT,ABSENT,ABSENT,TRUE,DECIDED,0.2488517622583096,0.35990515591116873,-0.03894775397811062,0.07020949930313825,-0.051302930231847566,0.06161274150469831,0.3066721350629396,0.012246436092838655,0.0057750224796894265
21,30,PRESENT,ABSENT,ABSENT,TRUE,DECIDED,0.22780809048583997,0.33804681094791134,-0.049672604290095596,0.058134602264775986,-0.08524257557080528,0.02838186382575375,0.2813028228747205,0.0017017028418895308,-0.03034578600868669
22,30,PRESENT,ABSENT,ABSENT,TRUE,DECIDED,0.19878632308790511,0.3112876463926413,-0.0448568346485545,0.05882786779241658,-0.02364829220370801,0.08135534729098984,0.2522268056194788,0.00786660961815158,0.02920953917433603
23,30,PRESENT,ABSENT,ABSENT,TRUE,DECIDED,0.19318940356479486,0.3090467781512297,-0.04281126313968686,0.07036973137116861,-0.04605795946644192,0.06720836479843662,0.2546907920727665,0.01185319250366731,0.011381325228241526
24,30,PRESENT,ABSENT,ABSENT,TRUE,DECIDED,0.24863316468096816,0.3601590728627281,-0.023254724700962848,0.09828033272530301,-0.08124721466730195,0.03805643277917431,0.31088887811046406,0.04340170909677436,-0.022285823512236513
25,30,PRESENT,ABSENT,ABSENT,TRUE,DECIDED,0.2422518377646799,0.3478381479857336,-0.04628119135585995,0.06204734168243892,-0.046927583402988304,0.06785122691035556,0.29196809682308106,0.011878533346299474,0.007499898647616673
26,30,PRESENT,ABSENT,ABSENT,TRUE,DECIDED,0.268524590865134,0.37688938007698325,-0.04775358157918769,0.0644667567248261,-0.08436314793675881,0.0346362375637263,0.3212917472626896,0.010183145293100465,-0.02944049144050285
27,30,PRESENT,UNDECIDED,ABSENT,TRUE,DECIDED,0.24234039134866062,0.35938603818265147,0.001795616065310146,0.11556863108416707,-0.0586249414818219,0.057891926793245674,0.30417420156452946,0.06267192211790105,-0.0024324448614321107
