sim_id,n_participants,decision_0_10s,decision_10_20s,decision_20_60s,h2_supported,overall_decision,hdi_0_10s_lower,hdi_0_10s_upper,hdi_10_20s_lower,hdi_10_20s_upper,hdi_20_60s_lower,hdi_20_60s_upper,mean_0_10s,mean_10_20s,mean_20_60s
1,60,PRESENT,PRESENT,ABSENT,TRUE,DECIDED,0.42541635060482497,0.5254309902588471,0.2152154340950333,0.31641065411792346,-0.04995159337179289,0.050271189108217484,0.47457997164712107,0.26617714689129796,0.004179139419388179
2,60,PRESENT,PRESENT,ABSENT,TRUE,DECIDED,0.4320431815929886,0.5407239407655317,0.23983518978201673,0.34444338822683596,-0.099329936321854,0.004812930256873238,0.48861749201813426,0.2947023750052071,-0.04693187630566767
3,60,PRESENT,PRESENT,ABSENT,TRUE,DECIDED,0.4583903216887715,0.5586526744164801,0.2029737317957506,0.30310664260307374,-0.029203180753183955,0.0748921296965423,0.510443968513396,0.25193189365862945,0.025498810405261606
4,60,PRESENT,PRESENT,ABSENT,TRUE,DECIDED,0.41574001373273056,0.5210792744765095,0.22543646043746968,0.3307111985706338,-0.06465785346847952,0.040653537351486246,0.4713214198501972,0.2804276056601026,-0.016701466912908792
5,60,PRESENT,PRESENT,ABSENT,TRUE,DECIDED,0.4368514978680313,0.539560163771957,0.19167799639413158,0.3000910805967255,-0.03236385857193569,0.07618329712936944,0.48529033977547026,0.25076272891608054,0.019768016307143678
6,60,PRESENT,PRESENT,UNDECIDED,FALSE,UNDECIDED,0.4287985889186247,0.5329188689154742,0.13951618221081924,0.24148041965920897,-0.00425407520740162,0.10074458400955133,0.48267140079717713,0.19074112827571948,0.04876774497143003
6,90,PRESENT,PRESENT,ABSENT,TRUE,DECIDED,0.4441315560900092,0.5290178202289556,0.17173647685684407,0.25245399030498417,-0.001397627754450348,0.08297723268584345,0.48678947616318363,0.21172485165084232,0.03981176012430699
7,60,PRESENT,PRESENT,ABSENT,TRUE,DECIDED,0.4606545313364068,0.5631002393888845,0.209874322592621,0.3112970960115477,-0.03267143405202155,0.06796442265719455,0.5088819062440981,0.2623034903188887,0.019473359747820197
8,60,PRESENT,PRESENT,ABSENT,TRUE,DECIDED,0.44320961744655596,0.544107386052212,0.19282609888521585,0.29073470444403743,-0.043867099649884334,0.05188762105071104,0.4926784447228608,0.24530942065811026,0.0028789511730475865
9,60,PRESENT,PRESENT,ABSENT,TRUE,DECIDED,0.4364792959135301,0.5371168767074552,0.2023741215740434,0.30325610947380904,-0.08215786635082689,0.023652048082194954,0.48708181264413486,0.2492576066366701,-0.029763325060739577
10,60,PRESENT,PRESENT,UNDECIDED,FALSE,UNDECIDED,0.4472845659182687,0.5517611300564117,0.1915857938041448,0.295459159091741,0.01742758050559401,0.12050363734190694,0.49768243732195233,0.24357868275301325,0.06580770152622217
10,90,PRESENT,PRESENT,UNDECIDED,FALSE,UNDECIDED,0.47315631560909255,0.5580207312946055,0.1851886949410918,0.2713492350699087,0.011696517153042874,0.10229632075706274,0.5131269451786734,0.2281245309342693,0.060604602486002114
10,120,PRESENT,PRESENT,ABSENT,TRUE,DECIDED,0.4698255617561897,0.5443909570110534,0.21228502896977086,0.286941162892402,0.005236452088803745,0.07858175918440752,0.5073029639435961,0.2501924548991229,0.040824537848982795
11,60,PRESENT,PRESENT,ABSENT,TRUE,DECIDED,0.44804933279881065,0.5491300681666147,0.23219446134873506,0.3347392485721941,-0.035673451205924134,0.06390237746375221,0.49854517660917286,0.2813284575329069,0.015039199696602473
12,60,PRESENT,PRESENT,ABSENT,TRUE,DECIDED,0.45016120570837026,0.55320130261519,0.19400596973903178,0.2958773908064112,-0.0402508882985082,0.06213946008058768,0.5078241145336385,0.2430909092048861,0.007924155689987772
13,60,PRESENT,PRESENT,ABSENT,TRUE,DECIDED,0.47664560696189956,0.5794117451113512,0.16667067263594226,0.2690154777313465,-0.05837723315423371,0.04447869578012925,0.527462210347749,0.21958769841990655,-0.00758906208735575
14,60,PRESENT,PRESENT,ABSENT,TRUE,DECIDED,0.43013226794309517,0.5392078718423031,0.2001171841914508,0.30473477917734204,-0.017601393602398208,0.08062685914789014,0.48644544994081745,0.2529968336571673,0.03177518703660311
15,60,PRESENT,PRESENT,ABSENT,TRUE,DECIDED,0.414200862727348,0.5181264543914466,0.17996696323063477,0.28433917851783863,-0.07142594206521241,0.0288751433907114,0.4689935575692483,0.2357144916657134,-0.02413369175065401
16,60,PRESENT,PRESENT,ABSENT,TRUE,DECIDED,0.45455218744833786,0.5539154706843605,0.23054165923304726,0.33341429614560614,-0.026670915831001785,0.07412801237501643,0.5029184209076845,0.2829397218746978,0.02184761940548085
17,60,PRESENT,PRESENT,ABSENT,TRUE,DECIDED,0.45532899060160476,0.5557708705880439,0.23023688527624808,0.33004904797711376,-0.011826848551398927,0.09203960109210135,0.5051635177657468,0.2813278552764822,0.03980240008546962
18,60,PRESENT,PRESENT,ABSENT,TRUE,DECIDED,0.4155618308397579,0.5117914147398951,0.1800901192068785,0.28298313436923184,-0.06599593664839026,0.03544273335470499,0.4629312798186123,0.23028507418799585,-0.014032547894299459
19,60,PRESENT,PRESENT,ABSENT,TRUE,DECIDED,0.4281732064097517,0.5303545390160966,0.21352656701732947,0.3088963161416417,-0.01241675347359339,0.08644308056388778,0.47851902028874693,0.261338172939815,0.03621175943016208
20,60,PRESENT,PRESENT,UNDECIDED,FALSE,UNDECIDED,0.4389562810072063,0.540928903325084,0.1862556644866038,0.28848076447556537,-0.1019178301944399,0.001347240881791334,0.48936789179908985,0.23593371585359854,-0.04985376675205778
